Vragen vanuit bestaande klant software gerelateerd;Antwoorden/oplossingen;Moeilijkheid (beantwoorden) (0=niet, 1=wel);Hoe beantwoorden/ informatiedrager;Voorkombaar
Waarom doet de Meta knop het niet als ik het menu wil openen?;Het gebaar voor de meta knop vergt wat oefening. Kijk naar uw open rechter palm. Beweeg vervolgens uw duim en wijsvinger naar elkaar toe. Er verschijnt nu een Meta symbool tussen de duim en wijsvinger. Tik de duim en wijsvinger tegen elkaar om het menu te openen. U kunt het volgende filmpje bekijken voor een visueel voorbeeld;0;Training, Handleidingen, Telefonisch, Mail, Video's, FAQ, Chatbot, Cursus, E-learning, Forum;Ja, deze vraag wordt waarschijnlijk gesteld door gebruikers die nog niet goed met de Meta knop kunnen omgaan. Dit kan tijdens de trainging beter worden uitgelegd
;How To Use Hand Tracking on Meta Quest 3 & 3s - Version 81+ - Meta Quest Tips;;;
Ik zie de meta knop op mijn pols en niet tussen mijn vingers, hoe werkt dit?;De plek van de Meta knop op de rechter hand kan verschillen per bril dit ligt eraan op welke update de bril werkt. De knop kan nog steeds worden ingedrukt door de duim en de wijsvinder tegen elkaar te tikken, maar je kunt ook met je linker hand de knop op de pols indrukken. ;0;Telefonisch, Mail, Chatbot, Forum;Nee, dit verschil komt alleen voor bij brillen die een oudere software hebben en nog in afwachting zijn van de nieuwste versie. De nieuwest update heeft dit niet meer
;;;;
Wat is de knop op mijn linker hand?;De knop met de drie streepjes op de linkerhand hebben geen functie en worden niet gebruikt.;0;Training, Telefonisch, Mail, Chatbot, Cursus, E-learning, Forum;Ja, tijdens de training kan deze informatie worden gegeven zodat klanten dit weten
;;;;
Hoe kom ik vanuit VR terug naar MR?;De bril heeft ook een VR functie je kunt tussen MR en VR switchen door twee snelle tikjes te geven op de rechterkant van de bril. Deze functie kan worden uitgezet in de passthrough;0;Training, Telefonisch, Mail, Chatbot, Cursus, E-learning, Forum;Ja, tijdens het instaleren van de bril kan deze functie worden uitgezet
;How to use Pass-through on Meta Quest | Quest help (en-gb);;;
Waarom schiet de bril soms in VR?;De bril heeft ook een VR functie je kunt tussen MR en VR switchen door twee snelle tikjes te geven op de rechterkant van de bril. Deze functie kan worden uitgezet in de passthrough;0;Training, Telefonisch, Mail, Chatbot, Cursus, E-learning, Forum;Ja, tijdens het instaleren van de bril kan deze functie worden uitgezet
;How to use Pass-through on Meta Quest | Quest help (en-gb);;;
Hoe vervang je de strap en facemask?;De brillen worden nu geleverd het standaard stoffen facemask en elastiek strap, HoloMoves adviseert om bij de Quest 3 een Elite Strap en een Silicone Facial Interface aan te schaffen voor hygiene en comfort te verbeteren. Deze zijn makkelijk te vervangen maar het is aan te raden om hier een video van te kijken ;0;Telefonisch, Mail, Video's, Chatbot, Forum;Ja, dit zou voorkomen kunnen worden door de brillen te leveren met silicone facial interface en elite strap
;How to install the Meta Quest 3 Elite Strap - YouTube;;;
Hoe maak ik de Quest schoon?;Het frame van de Quest kan schoongemaakt worden met een vochtig doekje. De lenzen dienen schoongemaakt te worden met een droog doekje, zoals een brillen doekje. De lenzen beschadigen als een vochtig doekje wordt gebruikt.;0;Training, Handleidingen, Telefonisch, Mail, FAQ, Chatbot, Cursus, E-learning, Forum;Ja, dit kan worden voorkomen door dit in een protocol mee te leveren
;Verzorging en onderhoud van de Meta Quest 3-gezichtsinterface;;;
Het beeld van de bril is niet scherp, hoe kan ik dit verbeteren?;Dit kan komen doordat de bril niet goed op het hoofd zit, zorg ervoor dat je bril juist op het gezicht is geplaatst en strak zit bevestigd voor het beste beeld. Daarnaast kunnen de lensen in de bril worden aangepast op de afstand van de ogen om ook scherper beeld te krijgen. Let er ook op dat de camera's aan de voorkant schoon zijn. als deze vies zijn moeten ze met een droog doekje worden schoon gemaakt;0;Training, Handleidingen, Telefonisch, Mail, Chatbot, Cursus, E-learning, Forum;Ja, dit kan tijdens de training duidelijk worden gemaakt
;;;;
Hoelang gaat de batterij van de Quest mee?;De batterijduur van de Quest 3 verschilt aan de hand van de intensiteit van het gebruik, de passthrough functie (MR) van de bril verbruikt meer stroom van de VR functie. Een volledig opgeladen bril zal 2 uur mee gaan;0;Training, Handleidingen, Telefonisch, Mail, FAQ, Chatbot, Cursus, E-learning, Forum;Ja, dit kan tijdens de training duidelijk worden gemaakt
;Meta Quest 3: nieuwe generatie virtual reality-headset;;;
Hoelang duurt het opladen van de Quest?;Met de bijgeleverde oplader is duurt het ongeveer 2,3 uur om de bril volledig op te laden;0;Training, Handleidingen, Telefonisch, Mail, FAQ, Chatbot, Cursus, E-learning, Forum;Ja, dit kan tijdens de training duidelijk worden gemaakt
;Meta Quest 3: nieuwe generatie virtual reality-headset;;;
Hoe vervang je de batterijen van de controller?;Dit kan door middel van indrukken van de knopjes aan de zijkant van de controllers, de controllers gebruiken AA batterijen. Het is aan te raden om heroplaadbare batterijen te gebruiken. ;0;Training, Handleidingen, Telefonisch, Mail, Video's, FAQ, Chatbot, Cursus, E-learning, SOP, Forum;Ja, dit kan tijdens de training duidelijk worden gemaakt
;How to Change Meta Quest 3 Controller Batteries - EASY DIY - YouTube;;;
Hoe zorg ik ervoor dat de Quest altijd verbonden blijft met de wifi?;De bril blijft automatisch verbonden met het WI-Fi netwerk waar deze als laatst verbonden mee was als hij hier toegang voor krijgt. Mocht de WI-FI toch weg vallen moet er worden gekeken naar de verbindingssnelheid van het netwerk of naar de afstand van de router tot de bril. ;0;Telefonisch, Mail, Chatbot, Forum;Nee, dit kan voorkomen bij klanten die geen goede internetverbinding hebben of op verschillende plekken spelen.
;;;;
